#txt_path		texture id
[BACKGROUND]
Scene2/mapping.txt	40
[OBJECTS]
#object	grid_x	grid_y	ani_set	x	y	w	h	nx	type	item_id
#brick										
1	0	0	2	0	176	256	16	0	0	0
1	0	0	2	224	0	16	176	0	0	0
1	0	0	2	160	112	64	16	0	0	0
1	0	0	2	0	0	16	176	0	0	0
1	0	0	2	16	64	16	64	0	0	0
1	0	0	2	32	80	128	16	0	0	0
#candles										
2	0	0	4	76	112	0	0	0	0	5
2	0	0	4	204	112	0	0	0	0	2
2	0	0	4	140	16	0	0	0	0	1
#stairs					
4	0	0	0	104	174	0	0	1	0	0
3	0	0	0	168	66	0	0	1	0	0
4	0	0	0	72	78	0	0	1	0	0
#enemies
5	0	0	0	64	48	32	144	1	0	0
6	0	0	0	40	24	0	0	1	0	0
#portal
50	0	0	0	144	-1	16	8	0	3	0	392	136	1	70
